"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты для Web","Проверки главной страницы","0","0","3","0","0"
"","Тесты для Web","Проверки авторизации АСУНО","0","0","1","0","0"
