"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 04 16:00:46 MSK 2022","Fri Feb 04 16:00:46 MSK 2022","66","Test_iiusno.Test_iiusno_API","test_api_asuno","TestAsunoAPI","","","Не проходящая авторизация","Проверка с неправильным логином и паролем"
"passed","Fri Feb 04 16:00:55 MSK 2022","Fri Feb 04 16:00:56 MSK 2022","711","Test_iiusno.Test_iiusno_Web","test_HomePage","TestHomePage","","","Открытие страницы авторизации ""АС УФАП / ТОиР""","Проверки открытия страницы авторизации ""АС УФАП / ТОиР"" со страницы ИИУСНО"
"passed","Fri Feb 04 16:00:59 MSK 2022","Fri Feb 04 16:01:00 MSK 2022","1234","Test_iiusno.Test_iiusno_Web","test_asuno","TestAsuno","","","Авторизация АСУНО","Проверка возможности авторизации"
"passed","Fri Feb 04 16:01:03 MSK 2022","Fri Feb 04 16:01:47 MSK 2022","44243","Test_iiusno.Test_iiusno_Web","test_toir","TestToir","","","Авторизация ТОиР","Проверка возможности авторизации"
"passed","Fri Feb 04 16:00:51 MSK 2022","Fri Feb 04 16:00:52 MSK 2022","1197","Test_iiusno.Test_iiusno_Web","test_HomePage","TestHomePage","","","Открытие страницы авторизации ""АСУНО""","Проверки открытия страницы авторизации ""АСУНО"" со страницы ИИУСНО"
"passed","Fri Feb 04 16:00:47 MSK 2022","Fri Feb 04 16:00:48 MSK 2022","224","Test_iiusno.Test_iiusno_Web","test_HomePage","TestHomePage","","","Открываем страницу ИИУСНО","Проверки на главной странице ИИУСНО"
